ForwardLength_max,ForwardLength_min,ForwardLength_sd,ForwardLength_avg,ForwardTime_max,ForwardTime_min,ForwardTime_sd,ForwardTime_avg,BackwardLength_max,BackwardLength_min,BackwardLength_sd,BackwardLength_avg,BackwardTime_max,BackwardTime_min,BackwardTime_sd,BackwardTime_avg,VPN
309,180,60.81118318,266,0.008914,0.000256,0.004014142,0.003239667,1454,60,614.24874,878.71875,0.003813,0,0.000882902,0.000374969,0
312,180,62.22539674,268,0.009019,0.000455,0.003953886,0.003431333,1454,312,467.952177,1131.6,0.022823,2.00E-06,0.007147638,0.0034324,0
310,180,61.2825877,266.6666667,0.009812,0.000492,0.004334862,0.003683333,1454,60,546.2162265,1132.690476,0.063006,1.00E-06,0.010721031,0.00312731,0
599,151,179.4217378,407.2,30.924955,0.000403,12.36873588,6.1874844,1454,173,518.610885,885.5,0.07484,3.00E-06,0.028685249,0.048501,0
309,180,60.81118318,266,0.009319,0.000607,0.003843566,0.003932667,1454,60,604.4689543,934.5,0.003744,1.00E-06,0.000907125,0.0004249,0
312,180,62.22539674,268,0.00934,0.000471,0.004068805,0.003593,1454,254,520.7329723,983.3076923,0.031046,1.00E-06,0.010051926,0.006411231,0
310,180,61.2825877,266.6666667,0.009462,0.000417,0.004141591,0.003613333,1454,60,523.1478536,1143.742857,0.088803,1.00E-06,0.01565349,0.004125829,0
122,122,0,122,30.99228,0,8.150892534,28.19843438,105,105,0,105,0.010647,0.008396,0.000725075,0.009171308,0
94,94,0,94,0.000224,0.000126,2.74E-05,0.000162857,90,90,0,90,8.400343,7.16399,0.464359803,7.792466286,0
94,94,0,94,0.000167,9.20E-05,2.56E-05,0.000132571,90,90,0,90,8.192663,7.680265,0.168753767,8.065557857,0
309,180,60.81118318,266,0.009934,0.000386,0.004264256,0.003937333,1454,60,603.6060905,922.5,0.003049,1.00E-06,0.00075588,0.000412531,0
312,180,62.22539674,268,0.008777,0.000539,0.00380142,0.003405,1454,88,533.3067743,1032.866667,0.030719,1.00E-06,0.009355141,0.0057202,0
310,180,61.2825877,266.6666667,0.01006,0.000324,0.004536582,0.003645667,1454,60,522.1723827,1131.947368,0.088561,1.00E-06,0.015081914,0.003869684,0
0,0,0,0,0,0,0,0,91,91,0,91,0,0,0,0,0
0,0,0,0,0,0,0,0,91,91,0,91,0,0,0,0,0
309,180,60.81118318,266,0.010857,0.000469,0.004867986,0.003973,1454,60,609.6290336,879.4375,0.012747,0,0.002492564,0.000846563,0
312,180,62.22539674,268,0.009273,0.000906,0.003841922,0.003846,1454,194,448.8134661,1173.8125,0.022677,1.00E-06,0.007115457,0.004183125,0
310,180,61.2825877,266.6666667,0.011228,0.000501,0.005050874,0.004085,1454,60,542.8259262,1132.526316,0.091882,1.00E-06,0.01517593,0.003580395,0
309,180,60.81118318,266,0.009392,0.000746,0.004072703,0.003632333,1454,60,604.546199,934.6,0.003506,1.00E-06,0.000723038,0.000297433,0
312,180,62.22539674,268,0.008418,0.000559,0.003661942,0.003240333,1454,131,572.8871029,970.7142857,0.025292,1.00E-06,0.008131587,0.0050715,0
310,180,61.2825877,266.6666667,0.009688,0.00042,0.004286423,0.003629667,1454,60,565.4271222,1084.297297,0.08701,1.00E-06,0.014065376,0.002657622,0
599,151,179.4217378,407.2,36.368576,0.000484,14.546139,7.276299,1454,173,518.610885,885.5,0.054713,1.00E-06,0.02120757,0.01902175,0
309,180,60.81118318,266,0.008368,0.000404,0.003702823,0.003133,1454,60,604.3158749,934.3,0.004389,1.00E-06,0.001135576,0.000497233,0
312,180,62.22539674,268,0.010489,0.000556,0.00453238,0.004091,1454,290,533.6302465,1020.4,0.026327,2.00E-06,0.008136971,0.0049453,0
310,180,61.2825877,266.6666667,0.010147,0.000699,0.00442074,0.003895667,1454,60,556.3449802,1116.783784,0.062003,1.00E-06,0.010590938,0.002522486,0
309,180,60.81118318,266,0.01026,0.000402,0.004592491,0.003766667,1454,60,600.760212,964.8275862,0.003535,0,0.000802373,0.000448621,0
312,180,62.22539674,268,0.009799,0.000563,0.004203418,0.003867333,1454,88,576.992538,884.3333333,0.061523,1.00E-06,0.017202244,0.00896625,0
310,180,61.2825877,266.6666667,0.010312,0.000454,0.004642634,0.003746333,1454,60,535.9124407,1128.526316,0.064182,2.00E-06,0.010588303,0.002412447,0
